id,name,alcohol,image,,,
1,砂肝葱まみれ,beer,,,,
2,麻ピー,beer,,,,
3,炭火焼鳥,beer,,,,
4,担々麺,beer,,,,
5,たこぶつ,beer,,,,
6,ペッパービーフ,beer,,,,
7,チーズサラミ&ソフトサラミ,beer,,,,
8,やみつき ホルモン ～旨辛 & スモーキー～,beer,,,,
9,焼豚切落し,beer,,,,
10,もっちりジューシー焼き餃子,beer,,,,
11,砂肝の黒胡椒焼き,beer,,,,
12,K＆K　缶つまスパイシー　四川風よだれ鶏,beer,,,,
13,子持ち焼ししゃも,beer,,,,
14,K＆K　缶つまスモーク　さば,beer,,,,
15,でか焼鳥,beer,,,,
16,タルだくチキン南蛮,beer,,,,
17,いか天明太マヨネーズ,beer,,,,
18,肉巻ぎょうざ串,beer,,,,
19,かねふく明太子使用 いか明太,beer,,,,
20,冷やし胡瓜一本漬　五島灘の塩,beer,,,,
21,おつまみにもおいしいメンマ,beer,,,,
22,海老とマッシュルームのアヒージョ風,beer,,,,
23,アクアパッツァ,beer,,,,
24,おつまみ帆立,beer,,,,
25,生ハムロース,beer,,,,
26,砂肝スモーク,beer,,,,
